,id,name,address,postal_code,charger_level,lat,lng,cost,gg_address,gg_lat,gg_lng,city,province
1393,CEA-10288,405 | BSR | MHM | 2500 Théodore,"2500 Rue Théodore, Montréal, QC",H1V 3C6,Level2,45.560128,-73.54373199999999,"1,00 $ (CAD) de l'heure","2500 Rue Théodore, Montréal, QC H1V 3C6, Canada",45.5599999,-73.5436605,Montréal,QC
1400,CEA-10195,281 | BHR | VSMPE | 8650 Querbes : Aréna Howie Morentz,"8650 Avenue Querbes, Montréal, QC",H3N 2G5,Level2,45.534091,-73.644047,"2,50 $ (CAD) par session","8650 Avenue Querbes, Montréal, QC H3N 2X4, Canada",45.5342078,-73.6444972,Montréal,QC
1404,CEA-11243,523 | BSR | PMR | 4752 Berri,"4752 Berri, Montréal, QC",H2J 2R6,Level2,45.526525,-73.585349,"1,00 $ (CAD) de l'heure","4752 Rue Berri, Montréal, QC H2J 2R5, Canada",45.526371999999995,-73.58540500000001,Montréal,QC
1405,CEA-10303,806 | BSR | SO | 550 Avenue Atwater,"550 Avenue Atwater, Montréal, QC",H4C 2G6,Level2,45.48178,-73.578613,"1,00 $ (CAD) de l'heure","550 Avenue Atwater, Montréal, QC H4C 2G6, Canada",45.4820871,-73.5787063,Montréal,QC
1406,CEA-10822,814 | BSR | SO | 2415 Allard,"2415 Allard, Montréal, QC",H4E 2L5,Level2,45.450914,-73.594951,"1,00 $ (CAD) de l'heure","2415 Rue Allard, Montréal, QC H4E 2L3, Canada",45.451234899999996,-73.5934408,Montréal,QC
1411,CEA-10363,308 | BSR | RPP | 3211 Rachel E,"3211 Rachel E, Montréal, QC",H1W 1A3,Level2,45.545229,-73.56114699999999,"1,00 $ (CAD) de l'heure","3211 Rue Rachel E, Montréal, QC H1W 1A3, Canada",45.5454122,-73.56090999999999,Montréal,QC
1416,CEB-10022,METRO - Fleury,"1745 rue Fleury Est, Montréal, QC",H2C 1T3,Level2,45.5666999816895,-73.6542129516602,"1,00 $ (CAD) de l'heure","1745 Rue Fleury E, Montréal, QC H2C 1T3, Canada",45.566800799999996,-73.65473850000001,Montréal,QC
1417,CEA-10134,622 | BSR | VM | 1275 Berri,"1265 Rue Berri, Montréal, QC",H2L 4X4,Level2,45.51461,-73.559342,"1,00 $ (CAD) de l'heure","1265 Rue Berri, Montréal, QC H2L 4S6, Canada",45.5146026,-73.55884959999999,Montréal,QC
1419,CEA-10640,415 | BSR | MHM | 2251 Aird,"2251 Aird, Montréal, QC",H1V 2W4,Level2,45.556959,-73.541658,"1,00 $ (CAD) de l'heure","2251 Avenue Aird, Montréal, QC H1V 2W4, Canada",45.557233399999994,-73.5422921,Montréal,QC
1421,CEA-10051,603 | BSR | VM | 115 St-Antoine,"155 rue St-Antoine Ouest, Montréal, QC",H2Z 2A7,Level2,45.504965,-73.559,"1,00 $ (CAD) de l'heure","155 Rue Saint-Antoine O, Montréal, QC H2Z 1H2, Canada",45.505202000000004,-73.5589031,Montréal,QC
